,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.5251365312872955,,Intercept,309.87846711611354,310.0,0.12153288388645933,310.0
1,1,grade A,1.0559897794414994,1.3108371313471533e-28,grade,81.07475817847362,81.0,-0.07475817847361554,81.0
2,2,grade B,0.8683778453232462,2.6590152018717688e-43,grade,66.67064889052406,67.0,0.3293511094759367,67.0
3,3,grade C,0.6655487436621303,2.8072635989096114e-30,grade,51.098225095447916,51.0,-0.09822509544791558,51.0
4,4,grade D,0.4846767306137544,1.3884581543126239e-18,grade,37.21158054202573,37.0,-0.21158054202572885,37.0
5,5,grade E,0.3256039218499683,2.3677936221905998e-11,grade,24.998593490090904,25.0,0.0014065099090956323,25.0
6,6,grade F,0.17723386351031872,0.0004806535137517141,grade,13.607321685192243,14.0,0.39267831480775683,14.0
7,7,home_ownership OWN,0.08991479281898185,1.552536822188129e-05,home_ownership,6.903305530402017,7.0,0.096694469597983,7.0
8,8,home_ownership MORTGAGE,0.10517816235078704,9.628432240117412e-16,home_ownership,8.075167245232509,8.0,-0.0751672452325085,8.0
9,9,addr_state NM_VA,0.096868661451762,0.0036203169574141286,addr_state,7.43719632061942,7.0,-0.43719632061942004,7.0
10,10,addr_state NY,0.07863394253292508,0.0015886737637937195,addr_state,6.037206040809102,6.0,-0.03720604080910217,6.0
11,11,addr_state OK_TN_MO_LA_MD_NC,0.10462188009551258,1.1714346403352136e-05,addr_state,8.032458073038432,8.0,-0.03245807303843229,8.0
12,12,addr_state CA,0.09835263207070422,6.3070936133736e-06,addr_state,7.5511297709396805,8.0,0.4488702290603195,8.0
13,13,addr_state UT_KY_AZ_NJ,0.11153109465849835,1.4427836654381271e-05,addr_state,8.562920498719789,9.0,0.4370795012802109,9.0
14,14,addr_state AR_MI_PA_OH_MN,0.1762072700676969,2.9331607081167187e-14,addr_state,13.528503862587757,14.0,0.4714961374122435,14.0
15,15,addr_state RI_MA_DE_SD_IN,0.11762265994623093,0.00012843064669565955,addr_state,9.030607016379559,9.0,-0.03060701637955887,9.0
16,16,addr_state GA_WA_OR,0.23593690305492943,1.2628705976430332e-17,addr_state,18.114311078534516,18.0,-0.1143110785345165,18.0
17,17,addr_state WI_MT,0.2884839068857939,4.7074976953284555e-09,addr_state,22.148664167485673,22.0,-0.14866416748567346,22.0
18,18,addr_state TX,0.2705845152317721,6.119728909869961e-24,addr_state,20.774419001344842,21.0,0.22558099865515757,21.0
19,19,addr_state IL_CT,0.3048047504307989,5.69612806014344e-24,addr_state,23.401714594147773,23.0,-0.4017145941477729,23.0
20,20,addr_state KS_SC_CO_VT_AK_MS,0.3432048102640695,3.3763201982375075e-27,addr_state,26.349920746926923,26.0,-0.349920746926923,26.0
