,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
47,47,mths_since_earliest_cr_line 165-247,0.040842598467588725,0.04920678914968758,mths_since_earliest_cr_line,3.135734699905488,3.0,-0.13573469990548803,3.0
48,48,mths_since_earliest_cr_line 248-270,0.06709064047524749,0.013465011241649422,mths_since_earliest_cr_line,5.150956532407364,5.0,-0.15095653240736429,5.0
49,49,mths_since_earliest_cr_line 271-352,0.11374360164289496,2.5984334580519867e-06,mths_since_earliest_cr_line,8.73278811696796,9.0,0.26721188303204,9.0
50,50,mths_since_earliest_cr_line >352,0.13541549353066695,8.08177628665445e-07,mths_since_earliest_cr_line,10.396671071403766,10.0,-0.396671071403766,10.0
51,51,inq_last_6mths 0,0.7754849853464709,2.99381758511136e-18,inq_last_6mths,59.53869903102157,60.0,0.46130096897842776,60.0
52,52,inq_last_6mths 1-2,0.6209885075440198,2.8577157569538966e-12,inq_last_6mths,47.67706474145073,48.0,0.32293525854927196,48.0
53,53,inq_last_6mths 3-6,0.42341007221901145,2.2750445939671e-06,inq_last_6mths,32.50776653694698,33.0,0.49223346305301874,32.0
54,54,acc_now_delinq >=1,0.049023525491414435,0.6386697121673544,acc_now_delinq,3.7638342260990116,4.0,0.23616577390098836,4.0
55,55,annual_inc 20K-30K,-0.03849072639114743,0.37235313812470205,annual_inc,-2.955167175885483,-3.0,-0.044832824114517056,-3.0
56,56,annual_inc 30K-40K,0.014096584256559715,0.7336956702395974,annual_inc,1.0822805125514676,1.0,-0.08228051255146762,1.0
57,57,annual_inc 40K-50K,0.11553547587313152,0.005269337794043384,annual_inc,8.870361200278959,9.0,0.1296387997210413,9.0
58,58,annual_inc 50K-60K,0.1705238264773483,4.751600567176052e-05,annual_inc,13.092151329940885,13.0,-0.09215132994088471,13.0
59,59,annual_inc 60K-70K,0.26691479077340247,4.994321363658178e-10,annual_inc,20.49267193443544,20.0,-0.4926719344354389,20.0
60,60,annual_inc 70K-80K,0.32929418222877593,5.516549199140916e-14,annual_inc,25.28191722451726,25.0,-0.28191722451726164,25.0
61,61,annual_inc 80K-90K,0.4210864920610233,3.246819888665187e-20,annual_inc,32.3293711555856,32.0,-0.3293711555855978,32.0
62,62,annual_inc 90K-100K,0.4329436841406354,5.2572084692688255e-20,annual_inc,33.239719910133864,33.0,-0.2397199101338643,33.0
63,63,annual_inc 100K-120K,0.492267428011305,7.055738565989053e-26,annual_inc,37.79436454987651,38.0,0.20563545012348783,38.0
64,64,annual_inc 120K-140K,0.5717359211666699,7.049229675760278e-27,annual_inc,43.89564411792921,44.0,0.1043558820707915,44.0
65,65,annual_inc >140K,0.5321214748729945,1.2622580859052264e-27,annual_inc,40.854202130363284,41.0,0.14579786963671637,41.0
66,66,dti <=1.4,0.26883302762519373,0.0018006560789335004,dti,20.639946644774273,21.0,0.3600533552257268,21.0
67,67,dti 1.4-3.5,0.39813469035643506,4.5878324794132014e-08,dti,30.56722173976083,31.0,0.43277826023917143,31.0
68,68,dti 3.5-7.7,0.3673170368176203,4.206505826178161e-09,dti,28.201163036419178,28.0,-0.2011630364191781,28.0
69,69,dti 7.7-10.5,0.31604672200842643,3.749701431914603e-07,dti,24.264829128823926,24.0,-0.2648291288239264,24.0
70,70,dti 10.5-16.1,0.23560754349297874,8.870553298289982e-05,dti,18.089024141711093,18.0,-0.08902414171109285,18.0
71,71,dti 16.1-20.3,0.15266748761752483,0.011225004644534381,dti,11.721211588669204,12.0,0.2787884113307957,12.0
72,72,dti 20.3-21.7,0.12038578534982103,0.05600671026270067,dti,9.242748959676913,9.0,-0.2427489596769128,9.0
73,73,dti 21.7-22.4,0.08407264480517922,0.21087255212614386,dti,6.454768293884058,6.0,-0.45476829388405804,6.0
74,74,dti 22.4-35,0.038949354944954245,0.5126468709803738,dti,2.9903788794621,3.0,0.009621120537900207,3.0
75,75,mths_since_last_delinq Missing,0.11164116397137272,0.03706008034063435,mths_since_last_delinq,8.571371189339995,9.0,0.4286288106600047,9.0
76,76,mths_since_last_delinq 4-30,0.12751524694282898,0.018566821154257746,mths_since_last_delinq,9.790121089454098,10.0,0.20987891054590158,10.0
77,77,mths_since_last_delinq 31-56,0.15882043712152355,0.0037800721853309158,mths_since_last_delinq,12.193610945966858,12.0,-0.19361094596685824,12.0
78,78,mths_since_last_delinq >=57,0.13914734576955337,0.01334191825413429,mths_since_last_delinq,10.68318806590113,11.0,0.31681193409887065,11.0
79,79,mths_since_last_record Missing,0.2531175642176942,0.0009233422100347668,mths_since_last_record,19.43337493335151,19.0,-0.4333749333515087,19.0
80,80,mths_since_last_record 3-20,0.3302875742143072,0.005790226546066023,mths_since_last_record,25.358185969320814,25.0,-0.3581859693208145,25.0
81,81,mths_since_last_record 21-31,0.2589606788102049,0.019345603653882097,mths_since_last_record,19.881986379995872,20.0,0.11801362000412752,20.0
82,82,mths_since_last_record 32-80,0.45447929976394913,1.962043742858739e-08,mths_since_last_record,34.89314010687872,35.0,0.10685989312128186,35.0
83,83,mths_since_last_record 81-86,0.13629287726856087,0.13436056950152214,mths_since_last_record,10.464033157443176,10.0,-0.4640331574431755,10.0
84,84,mths_since_last_record >=86,0.20129543063578972,0.010172128519175344,mths_since_last_record,15.454674542266693,15.0,-0.4546745422666927,15.0
85,0,grade G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term 60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length 0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_issue_d >84,0.0,,mths_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate >20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line <140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths >6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq 0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc <20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti >35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq 0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record 0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
